241 misere(1,24) 3.830 2
230 misere(0,23) 3.830 3
511 misere(1,51) 3.840 1
465 misere(5,46) 3.840 0
394 misere(4,39) 3.840 1
497 misere(7,49) 3.840 2
295 misere(5,29) 3.840 1
158 misere(8,15) 3.840 3
253 misere(3,25) 3.840 5
195 misere(5,19) 3.840 4
261 misere(1,26) 3.840 3
380 misere(0,38) 3.840 1
134 misere(4,13) 3.840 3
210 misere(0,21) 3.840 1
354 misere(4,35) 3.840 4
337 misere(7,33) 3.840 1
576 misere(6,57) 3.840 5
360 misere(0,36) 3.850 4
563 misere(3,56) 3.850 0
283 misere(3,28) 3.850 1
220 misere(0,22) 3.850 4
369 misere(9,36) 3.850 2
184 misere(4,18) 3.850 4
256 misere(6,25) 3.850 4
232 misere(2,23) 3.850 4
539 misere(9,53) 3.850 0
330 misere(0,33) 3.850 4
393 misere(3,39) 3.860 2
517 misere(7,51) 3.860 1
499 misere(9,49) 3.860 0
347 misere(7,34) 3.860 3
273 misere(3,27) 3.860 3
526 misere(6,52) 3.860 4
586 misere(6,58) 3.860 0
54 misere(4,5) 3.860 0
27 misere(7,2) 3.860 2
570 misere(0,57) 3.860 5
278 misere(8,27) 3.870 2
531 misere(1,53) 3.870 3
426 misere(6,42) 3.870 5
425 misere(5,42) 3.870 0
245 misere(5,24) 3.870 1
423 misere(3,42) 3.870 2
593 misere(3,59) 3.870 5
598 misere(8,59) 3.870 3
197 misere(7,19) 3.870 1
367 misere(7,36) 3.870 1
489 misere(9,48) 3.870 5
170 misere(0,17) 3.870 3
312 misere(2,31) 3.870 4
410 misere(0,41) 3.880 4
132 misere(2,13) 3.880 5
382 misere(2,38) 3.880 2
189 misere(9,18) 3.880 1
222 misere(2,22) 3.880 2
328 misere(8,32) 3.880 3
168 misere(8,16) 3.880 5
436 misere(6,43) 3.880 1
529 misere(9,52) 3.880 1
224 misere(4,22) 3.890 3
455 misere(5,45) 3.890 5
443 misere(3,44) 3.890 0
554 misere(4,55) 3.890 5
151 misere(1,15) 3.890 1
243 misere(3,24) 3.890 3
262 misere(2,26) 3.890 4
209 misere(9,20) 3.900 2
564 misere(4,56) 3.900 5
398 misere(8,39) 3.900 3
172 misere(2,17) 3.900 0
418 misere(8,41) 3.900 1
487 misere(7,48) 3.900 0
471 misere(1,47) 3.900 5
522 misere(2,52) 3.910 0
409 misere(9,40) 3.910 3
161 misere(1,16) 3.910 2
535 misere(5,53) 3.910 1
292 misere(2,29) 3.910 0
548 misere(8,54) 3.910 5
481 misere(1,48) 3.910 0
556 misere(6,55) 3.910 4
508 misere(8,50) 3.910 4
475 misere(5,47) 3.910 0
420 misere(0,42) 3.910 5
592 misere(2,59) 3.910 0
408 misere(8,40) 3.910 5
574 misere(4,57) 3.920 0
234 misere(4,23) 3.920 2
267 misere(7,26) 3.920 3
580 misere(0,58) 3.920 0
572 misere(2,57) 3.930 2
448 misere(8,44) 3.930 0
297 misere(7,29) 3.930 3
179 misere(9,17) 3.930 5
400 misere(0,40) 3.930 1
139 misere(9,13) 3.930 1
488 misere(8,48) 3.940 3
279 misere(9,27) 3.940 3
217 misere(7,21) 3.940 3
541 misere(1,54) 3.940 1
542 misere(2,54) 3.940 5
299 misere(9,29) 3.950 4
264 misere(4,26) 3.950 1
258 misere(8,25) 3.950 1
484 misere(4,48) 3.950 4
399 misere(9,39) 3.950 2
280 misere(0,28) 3.950 4
438 misere(8,43) 3.960 5
122 misere(2,12) 3.960 3
451 misere(1,45) 3.960 3
555 misere(5,55) 3.960 3
407 misere(7,40) 3.960 0
491 misere(1,49) 3.970 2
152 misere(2,15) 3.970 3
412 misere(2,41) 3.970 1
478 misere(8,47) 3.970 4
589 misere(9,58) 3.970 1
467 misere(7,46) 3.970 5
432 misere(2,43) 3.970 5
406 misere(6,40) 3.980 1
473 misere(3,47) 3.980 2
587 misere(7,58) 3.980 5
568 misere(8,56) 3.980 0
272 misere(2,27) 3.980 2
450 misere(0,45) 3.980 5
388 misere(8,38) 3.990 2
547 misere(7,54) 3.990 2
416 misere(6,41) 3.990 4
545 misere(5,54) 3.990 0
147 misere(7,14) 3.990 4
182 misere(2,18) 3.990 1
537 misere(7,53) 4.000 3
507 misere(7,50) 4.000 3
483 misere(3,48) 4.000 5
462 misere(2,46) 4.000 1
578 misere(8,57) 4.000 1
157 misere(7,15) 4.000 1
247 misere(7,24) 4.010 2
513 misere(3,51) 4.020 3
